brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
68205.0,for_sale,699900.0,4,4,1.4,1808780.0,Glastonbury,Connecticut,06033,2943.0,1993-11-23
10585.0,for_sale,289900.0,3,2,0.27,312529.0,Newington,Connecticut,06111,1470.0,1998-09-04
107964.0,for_sale,674900.0,4,3,10.57,685077.0,Middletown,Connecticut,06457,3660.0,
19428.0,for_sale,1195000.0,5,5,0.21,581083.0,West Hartford,Connecticut,06107,3131.0,
30125.0,for_sale,99900.0,4,1,0.15,185542.0,New Britain,Connecticut,06051,1080.0,
13328.0,for_sale,95000.0,2,1,,1697890.0,Middletown,Connecticut,06457,709.0,2017-02-10
25494.0,for_sale,121900.0,2,2,,123125.0,Cromwell,Connecticut,06416,1057.0,2015-03-04
10582.0,for_sale,80000.0,1,1,,1645636.0,Hartford,Connecticut,06114,925.0,2014-12-19
33714.0,for_sale,425000.0,4,3,1.18,20174.0,Haddam,Connecticut,06438,2741.0,
6615.0,for_sale,249000.0,3,2,0.66,1609612.0,East Hampton,Connecticut,06424,1296.0,2021-11-30
17353.0,for_sale,369900.0,3,2,0.38,545133.0,Meriden,Connecticut,06450,2074.0,1991-07-11
23991.0,for_sale,164000.0,3,1,0.09,1251078.0,Middletown,Connecticut,06457,1040.0,2020-04-14
56960.0,for_sale,279000.0,5,3,0.26,1627858.0,Meriden,Connecticut,06450,1816.0,2002-03-19
84512.0,for_sale,399000.0,3,4,,522606.0,Rocky Hill,Connecticut,06067,1706.0,2009-12-22
89094.0,for_sale,299900.0,2,2,,1808930.0,Berlin,Connecticut,06037,1328.0,2015-11-30
12278.0,for_sale,49000.0,,,0.13,423905.0,New Britain,Connecticut,06052,,2019-09-25
15366.0,for_sale,269900.0,1,2,,1450860.0,West Hartford,Connecticut,06107,1414.0,2016-11-10
25497.0,for_sale,439900.0,,,0.12,1314222.0,Middletown,Connecticut,06457,5120.0,
107953.0,for_sale,499000.0,3,3,1.39,1447618.0,East Hampton,Connecticut,06424,2888.0,2021-04-19
